id;street;street_number;postal_code;city
1;Spencer Common;Human deposit;even-keeled Saint Helena Pound;Treutelhaven
2;Satterfield Tunnel;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;Ondrickashire
3;Crooks Avenue;Latvia;Ports Manager Fish;East Jeremyborough
4;Frederick Estate;program alarm;Nevada;South Fredyfurt
5;Flatley Fort;Strategist target;Investor users dot-com;Kirstenfurt
6;Cleta Meadows;sensor;Alaska;Nolantown
7;Tristian Drives;Response Human;back up Factors;West Kattie
8;Vincenzo Vista;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;Port Rosalind
9;Kevon Ridge;Intelligent;Zambian Kwacha intuitive;South Eleazar
10;Robel Trail;Belize Dollar Sudanese Pound real-time;protocol;Lake Deshaun
